user_pseudo_id,days_of_browsing,t_clickcategory,t_viewcourse,t_search,t_sortfilter,t_viewteacher,t_clickbuy,t_clickproceed
2083483989.1645506764,14,6,178,,,,1,
686652774.1635945996,3,1,10,,,,1,
1287888511.1648567188,3,26,37,,7,,1,
1475716096.1625906769,2,1,43,,3,,1,1
1683759017.1644303449,21,37,183,23,4,2,1,2
1879320280.1646399735,4,3,8,,,,2,
201144889.1646817379,3,1,21,,,,4,2
4fbdb00e-d69e-4428-82dc-992cd017fcb6,1,,2,,,,1,
1029191944.1600958214,10,1,45,,,2,2,6
1098233802.1647235335,2,,24,3,,2,1,
1555072607.1634651019,11,2,204,4,,,1,
1633886471.1645159308,16,3,181,15,,1,4,2
1879503435.1644249786,4,22,124,,3,,2,3
5dbab28dcb5acb608bcb37d6,4,1,10,,,,1,
822005818.1651593384,1,1,2,,,,4,
736836406.1641006738,1,,,,,,1,
275245445.1642238284,1,,4,,,,1,
297553451.1642329641,1,,22,,,,2,
5743022f9a3114152d0038dc,12,1,18,9,,,2,5
582d22c89a3114133f00043e,6,20,18,,1,2,3,3
1272773269.1651719443,20,7,88,,,1,1,1
2027636606.1645932555,8,10,31,2,,,1,1
848515331.1626602961,21,34,147,2,13,,1,1
959450734.1558146097,6,1,45,3,,,1,2
1801586748.1647424542,16,1,124,2,,2,1,
3b02c3c8-df6b-4a38-af7a-efa2b5ea2c58,9,14,128,1,2,2,3,3
800034818.1645793272,16,3,101,,,,1,
950574486.1642043758,9,,64,3,,,1,1
1256088556.1627390574,33,12,120,2,2,1,2,1
1853675087.1644205780,1,,9,,,,1,
428611267.1646888727,3,10,22,,,,1,
5e393ea05962b469c1f25ed7,4,1,19,2,,,1,
1338393272.1643167148,7,,69,3,,,2,1
1350788715.1644300219,4,19,107,1,4,,4,
1966078048.1629794658,7,6,57,5,,,1,
483554428.1643695033,6,21,166,1,,,2,2
5c04162e4f27e82a9d00000f,2,1,2,,,,2,4
5cde6a692faa657733027a0f,9,1,77,2,,,2,
6184f54aea4212000d4c5b10,3,5,8,10,7,1,1,
1044593690.1642772178,1,,24,2,,,1,
57f4fb4ce7e9dd6ec90000b5,6,1,10,1,,,2,1
1297795456.1648163584,2,1,8,,2,,1,
1330696344.1645365090,1,,9,,,,1,
1433661645.1641909560,4,5,33,,,,1,1
447141359.1645445082,9,,29,,,,1,2
805723154.1649324384,1,,4,1,,,1,2
1395523592.1641794908,1,2,26,,2,,1,
360370480.1647489326,7,,15,,,,2,2
5da57ddccb5acb3a82878ddc,9,1,34,13,,1,3,5
131806284.1647764696,9,6,20,1,,,4,
1954263652.1651722198,8,,41,1,,,1,
28322ad2-bafb-4a71-8121-a3a0ba20be8a,8,15,43,,18,,3,2
543459621.1641969429,4,5,60,3,1,,5,4
1324312767.1636990199,4,,33,4,,1,1,1
1935316370.1647403150,21,,58,2,,,1,
1975856e-55db-4e56-885a-701322560c63,4,3,21,,,2,1,2
1037686222.1648634281,1,4,9,2,,,1,
1650419127.1641835547,33,2,257,6,,,1,
5744150e9a31144c4d001ec3,8,3,6,1,,1,1,3
139340963.1642325407,8,1,78,15,,,4,
1888662811.1643128998,2,5,44,5,,,2,1
456584128.1645845419,10,67,85,,,,2,1
1056304614.1618231377,23,9,200,7,,1,1,2
1271634780.1637038431,15,1,87,7,,,1,1
2017149785.1644569138,6,3,41,,2,,1,1
318467951.1646894780,9,13,37,7,,,1,1
1669785237.1646466396,1,,2,,,,4,
1951233670.1642068307,1,,6,,,,1,1
98788870.1651308158,3,4,5,,1,,3,
636414538.1650166063,10,2,39,12,,,2,
776055306.1646288397,2,10,15,,,,2,
1522067936.1639495558,23,31,218,,7,3,6,5
1633937948.1644886741,14,2,121,3,,,3,1
1662667369.1649846674,13,14,56,5,2,2,4,3
844453280.1632564981,52,,169,1,,,1,
1297515332.1642566859,2,1,38,3,1,,1,
1826889999.1650867194,16,3,88,1,,1,1,
5e92846a97b2782f0477b509,4,25,24,1,3,2,1,
1234622909.1645185277,3,,15,,,,1,1
1833348806.1645259902,6,20,96,,4,,1,1
2061426802.1614051325,11,,155,15,,,1,
319188346.1634874601,24,12,207,2,,,6,15
1391050777.1635263332,38,20,844,8,1,,2,3
152151717.1642088237,2,,15,,,,3,
1589975063.1642070475,39,36,334,4,5,,2,2
758536455.1613491826,6,6,55,2,,,1,
1821734943.1649680855,2,14,18,,,,1,
